Measure,Condition,Time (years),y,Units,n,CI
SUVR change from baseline,Placebo,0.50,-0.01,dimensionless,34,0.02
SUVR change from baseline,Placebo,1,0.00,dimensionless,30,0.02
SUVR change from baseline,1mg_per_kg,0.50,-0.03,dimensionless,26,0.02
SUVR change from baseline,1mg_per_kg,1,-0.06,dimensionless,21,0.02
SUVR change from baseline,3mg_per_kg,0.50,-0.09,dimensionless,27,0.02
SUVR change from baseline,3mg_per_kg,1,-0.14,dimensionless,26,0.02
SUVR change from baseline,6mg_per_kg,0.50,-0.14,dimensionless,23,0.02
SUVR change from baseline,6mg_per_kg,1,-0.21,dimensionless,23,0.02
SUVR change from baseline,10mg_per_kg,0.50,-0.21,dimensionless,27,0.02
SUVR change from baseline,10mg_per_kg,1,-0.27,dimensionless,21,0.03
