Name,Name_Lin,Value,Units,Parameter description,Comments,REF
ksynthAPP_plasma,ksynthAPP_plasma,0.0014,nmol/s,,per in Madrasi,
ksynthAPP_bisf,ksynthAPP_bisf,2.51E-04,nmol/s,,,
kclearAPP,kclearAPP,4.81E-05,1/s,,,
ksynthBACE_plasma,ksynthBACE_plasma,0.0011,nmol/s,,per in Madrasi,
ksynthBACE_bisf,ksynthBACE_bisf,1.04E-04,nmol/s,,,
kclearBACE,kclearBACE,1.20E-05,1/s,,,
kclearBACEs,kclearBACEs,6.42E-05,1/s,,Missing in Madrasi,
kcleave,kcleave,2.00E-07,1/s,,,
ksynthGamma_plasma,ksynthGamma_plasma,28.8811,nmol/s,,per in Madrasi,
ksynthGamma_bisf,ksynthGamma_bisf,2.5127,nmol/s,,,
kclearGamma,kclearGamma,1.93E-04,1/s,,,
koffGamma,koffGamma,215.9983,1/s,,,
kcatGamma,kcatGamma,0.0017,1/s,,,
ksynthFcR_bisf,ksynthFcR_bisf,5.03E-05,nmol/s,,,
koffBACE,koffBACE,119.9928,1/s,,,
kcatBACE,kcatBACE,0.0072,1/s,,,
kclearAbeta_plasma,kclearAbeta_plasma,9.63E-05,1/s,,,
kclearAbeta_bisf,kclearAbeta_bisf,1.93E-05,1/s,,,
kclearAolig_plasma,kclearAolig_plasma,9.63E-05,1/s,,,
kclearAolig_bisf,kclearAolig_bisf,2.20E-08,1/s,,Part of bisf plaque and oligomers,
kclearAplaq,kclearAplaq,4.41E-09,1/s,,,
kM2G,kM2G,1.40E-05,1/s,,Part of bisf plaque and oligomers,
kG2M_plasma,kG2M_plasma,1.40E+05,1/s,,Check if -5,
kG2M_csf,kG2M_csf,0.0028,1/s,,,
kG2M_bisf,kG2M_bisf,1.40E-08,1/s,,Part of bisf plaque and oligomers,
kG2P,kG2P,7.00E-08,1/s,,Part of bisf plaque and oligomers,
kP2G_bisf,kP2G_bisf,7.00E-11,1/s,,Part of bisf plaque and oligomers,
k13BACE,k13BACE,1.72E-09,1/s,,,
k31BACE,k31BACE,4.17E-05,1/s,,,
k14BACE,k14BACE,2.01E-08,1/s,,, 
k41BACE,k41BACE,8.02E-05,1/s,,,
k43BACE,k43BACE,1.55E-05,1/s,,,
k43BI,k43BI,1.55E-05,1/s,,In Code,
k13Abeta,k13Abeta,1.72E-09,1/s,,,
k31Abeta,k31Abeta,4.17E-05,1/s,,,
k14Abeta,k14Abeta,1.48E-04,1/s,,,
k41Abeta,k41Abeta,1.48E-05,1/s,,,
k43Abeta,k43Abeta,1.55E-05,1/s,,,
k13Aoli,k13Aoli,1.72E-09,1/s,,,
k31Aoli,k31Aoli,4.17E-05,1/s,,,
k14Aoli,k14Aoli,1.48E-06,1/s,,,
k41Aoli,k41Aoli,1.48E-08,1/s,,,
k43Aoli,k43Aoli,2.33E-08,1/s,,,
kinfusion,kinfusion,1,1/s,,Unknown,
